ktdb_admin_code,ktdb_full_name,sgis_adm_cd,sgis_adm_nm,x,y,match_status,candidate_count
1100000000,서울특별시,,,,,name_not_found,0
1111000000,서울특별시 종로구,,,,,name_not_found,0
1111051000,서울특별시 종로구 청운동,,,,,name_not_found,0
1111051500,서울특별시 종로구 청운효자동,1101072,서울특별시 종로구 청운효자동,953198.0,1954025.0,matched,1
1111052000,서울특별시 종로구 효자동,,,,,name_not_found,0
1111053000,서울특별시 종로구 사직동,1101053,서울특별시 종로구 사직동,953230.0,1952854.0,matched,1
1111054000,서울특별시 종로구 삼청동,1101054,서울특별시 종로구 삼청동,954293.0,1954575.0,matched,1
1111055000,서울특별시 종로구 부암동,1101055,서울특별시 종로구 부암동,952642.0,1955417.0,matched,1
1111056000,서울특별시 종로구 평창동,1101056,서울특별시 종로구 평창동,953051.0,1957499.0,matched,1
1111057000,서울특별시 종로구 무악동,1101057,서울특별시 종로구 무악동,952198.0,1953209.0,matched,1
1111058000,서울특별시 종로구 교남동,1101058,서울특별시 종로구 교남동,952666.0,1952544.0,matched,1
1111059000,서울특별시 종로구 세종로동,,,,,name_not_found,0
1111060000,서울특별시 종로구 가회동,1101060,서울특별시 종로구 가회동,954658.0,1953818.0,matched,1
1111061000,서울특별시 종로구 종로1.2가동,,,,,name_not_found,0
1111061500,서울특별시 종로구 종로1.2.3.4가동,,,,,name_not_found,0
1111062000,서울특별시 종로구 종로3.4가동,,,,,name_not_found,0
1111063000,서울특별시 종로구 종로5.6가동,,,,,name_not_found,0
1111064000,서울특별시 종로구 이화동,1101064,서울특별시 종로구 이화동,956134.0,1953491.0,matched,1
1111065000,서울특별시 종로구 혜화동,1101073,서울특별시 종로구 혜화동,955635.0,1954339.0,matched,1
1111066000,서울특별시 종로구 명륜3가동,,,,,name_not_found,0
1111067000,서울특별시 종로구 창신제1동,,,,,name_not_found,0
1111068000,서울특별시 종로구 창신제2동,,,,,name_not_found,0
1111069000,서울특별시 종로구 창신제3동,,,,,name_not_found,0
1111070000,서울특별시 종로구 숭인제1동,,,,,name_not_found,0
1111071000,서울특별시 종로구 숭인제2동,,,,,name_not_found,0
1114000000,서울특별시 중구,,,,,name_not_found,0
1114051000,서울특별시 중구 태평로1가동,,,,,name_not_found,0
1114052000,서울특별시 중구 소공동,1102052,서울특별시 중구 소공동,953582.0,1951771.0,matched,1
1114053000,서울특별시 중구 남대문로5가동,,,,,name_not_found,0
1114054000,서울특별시 중구 회현동,1102054,서울특별시 중구 회현동,953823.0,1950941.0,matched,1
1114055000,서울특별시 중구 명동,1102055,서울특별시 중구 명동,954563.0,1951725.0,matched,1
1114056000,서울특별시 중구 충무로4.5가동,,,,,name_not_found,0
1114057000,서울특별시 중구 필동,1102057,서울특별시 중구 필동,955312.0,1950944.0,matched,1
1114058000,서울특별시 중구 장충동,1102058,서울특별시 중구 장충동,955918.0,1950576.0,matched,1
1114059000,서울특별시 중구 광희동,1102059,서울특별시 중구 광희동,956170.0,1951862.0,matched,1
1114060000,서울특별시 중구 을지로3.4.5가동,,,,,name_not_found,0
1114060500,서울특별시 중구 을지로동,1102060,서울특별시 중구 을지로동,955538.0,1952243.0,matched,1
1114061000,서울특별시 중구 신당제1동,,,,,name_not_found,0
1114061500,서울특별시 중구 신당동,1102069,서울특별시 중구 신당동,957064.0,1951933.0,matched,1
1114062000,서울특별시 중구 신당제2동,,,,,name_not_found,0
1114062500,서울특별시 중구 다산동,1102070,서울특별시 중구 다산동,956575.0,1950735.0,matched,1
1114063000,서울특별시 중구 신당제3동,,,,,name_not_found,0
1114063500,서울특별시 중구 약수동,1102071,서울특별시 중구 약수동,956749.0,1950211.0,matched,1
1114064000,서울특별시 중구 신당제4동,,,,,name_not_found,0
1114064500,서울특별시 중구 청구동,1102072,서울특별시 중구 청구동,957159.0,1951034.0,matched,1
1114065000,서울특별시 중구 신당제5동,,,,,name_not_found,0
1114066000,서울특별시 중구 신당제6동,,,,,name_not_found,0
1114066500,서울특별시 중구 동화동,1102073,서울특별시 중구 동화동,957489.0,1951450.0,matched,1
1114067000,서울특별시 중구 황학동,1102067,서울특별시 중구 황학동,957684.0,1952329.0,matched,1
1114068000,서울특별시 중구 중림동,1102068,서울특별시 중구 중림동,952851.0,1951028.0,matched,1
1117000000,서울특별시 용산구,,,,,name_not_found,0
1117051000,서울특별시 용산구 후암동,1103051,서울특별시 용산구 후암동,954107.0,1950162.0,matched,1
1117052000,서울특별시 용산구 용산2가동,1103052,서울특별시 용산구 용산2가동,954358.0,1948827.0,matched,1
1117053000,서울특별시 용산구 남영동,1103053,서울특별시 용산구 남영동,953613.0,1949501.0,matched,1
1117054000,서울특별시 용산구 청파제1동,,,,,name_not_found,0
1117055000,서울특별시 용산구 청파제2동,,,,,name_not_found,0
1117055500,서울특별시 용산구 청파동,1103071,서울특별시 용산구 청파동,952907.0,1949940.0,matched,1
1117056000,서울특별시 용산구 원효로제1동,,,,,name_not_found,0
1117057000,서울특별시 용산구 원효로제2동,,,,,name_not_found,0
1117058000,서울특별시 용산구 효창동,1103058,서울특별시 용산구 효창동,952374.0,1949419.0,matched,1
1117059000,서울특별시 용산구 용문동,1103059,서울특별시 용산구 용문동,952155.0,1948976.0,matched,1
1117060000,서울특별시 용산구 한강로제1동,,,,,name_not_found,0
1117061000,서울특별시 용산구 한강로제2동,,,,,name_not_found,0
1117062000,서울특별시 용산구 한강로제3동,,,,,name_not_found,0
1117062500,서울특별시 용산구 한강로동,1103073,서울특별시 용산구 한강로동,953049.0,1947878.0,matched,1
1117063000,서울특별시 용산구 이촌제1동,,,,,name_not_found,0
1117064000,서울특별시 용산구 이촌제2동,,,,,name_not_found,0
1117065000,서울특별시 용산구 이태원제1동,,,,,name_not_found,0
1117066000,서울특별시 용산구 이태원제2동,,,,,name_not_found,0
1117067000,서울특별시 용산구 한남제1동,,,,,name_not_found,0
1117068000,서울특별시 용산구 한남제2동,,,,,name_not_found,0
1117068500,서울특별시 용산구 한남동,1103074,서울특별시 용산구 한남동,956281.0,1948800.0,matched,1
1117069000,서울특별시 용산구 서빙고동,1103069,서울특별시 용산구 서빙고동,954845.0,1946820.0,matched,1
1117070000,서울특별시 용산구 보광동,1103070,서울특별시 용산구 보광동,955889.0,1947628.0,matched,1
1120000000,서울특별시 성동구,,,,,name_not_found,0
1120050100,서울특별시 성동구 옥수동,1104073,서울특별시 성동구 옥수동,957639.0,1949168.0,matched,1
1120051000,서울특별시 성동구 왕십리제1동,,,,,name_not_found,0
1120052000,서울특별시 성동구 왕십리제2동,,,,,name_not_found,0
1120053000,서울특별시 성동구 도선동,,,,,name_not_found,0
1120053500,서울특별시 성동구 왕십리도선동,1104071,서울특별시 성동구 왕십리도선동,958357.0,1952249.0,matched,1
1120054000,서울특별시 성동구 마장동,1104054,서울특별시 성동구 마장동,959431.0,1952095.0,matched,1
1120055000,서울특별시 성동구 사근동,1104055,서울특별시 성동구 사근동,959858.0,1951065.0,matched,1
1120056000,서울특별시 성동구 행당제1동,,,,,name_not_found,0
1120057000,서울특별시 성동구 행당제2동,,,,,name_not_found,0
1120058000,서울특별시 성동구 응봉동,1104058,서울특별시 성동구 응봉동,958829.0,1950271.0,matched,1
1120059000,서울특별시 성동구 금호1가동,1104059,서울특별시 성동구 금호1가동,958067.0,1950570.0,matched,1
1120060000,서울특별시 성동구 금호2가동,,,,,name_not_found,0
1120061000,서울특별시 성동구 금호3가동,,,,,name_not_found,0
1120061500,서울특별시 성동구 금호2.3가동,,,,,name_not_found,0
1120062000,서울특별시 성동구 금호4가동,1104062,서울특별시 성동구 금호4가동,957969.0,1949667.0,matched,1
1120063000,서울특별시 성동구 옥수제1동,,,,,name_not_found,0
1120064000,서울특별시 성동구 옥수제2동,,,,,name_not_found,0
1120064500,서울특별시 성동구 옥수동,1104073,서울특별시 성동구 옥수동,957639.0,1949168.0,matched,1
1120065000,서울특별시 성동구 성수1가제1동,,,,,name_not_found,0
1120066000,서울특별시 성동구 성수1가제2동,,,,,name_not_found,0
1120067000,서울특별시 성동구 성수2가제1동,,,,,name_not_found,0
1120068000,서울특별시 성동구 성수2가제2동,,,,,name_not_found,0
1120069000,서울특별시 성동구 성수2가제3동,,,,,name_not_found,0
1120070000,서울특별시 성동구 성수2가제4동,,,,,name_not_found,0
1120071000,서울특별시 성동구 화양동,,,,,name_not_found,0
1120072000,서울특별시 성동구 송정동,1104069,서울특별시 성동구 송정동,962263.0,1951008.0,matched,1
1120073000,서울특별시 성동구 군자동,,,,,name_not_found,0
1120074000,서울특별시 성동구 중곡제1동,,,,,name_not_found,0
1120075000,서울특별시 성동구 중곡제2동,,,,,name_not_found,0
1120076000,서울특별시 성동구 중곡제3동,,,,,name_not_found,0
1120077000,서울특별시 성동구 중곡제4동,,,,,name_not_found,0
1120078000,서울특별시 성동구 능동,,,,,name_not_found,0
1120079000,서울특별시 성동구 용답동,1104070,서울특별시 성동구 용답동,960925.0,1951149.0,matched,1
1120080000,서울특별시 성동구 구의동,,,,,name_not_found,0
1120081000,서울특별시 성동구 광장동,,,,,name_not_found,0
1120082000,서울특별시 성동구 자양제1동,,,,,name_not_found,0
1120083000,서울특별시 성동구 자양제2동,,,,,name_not_found,0
1120084000,서울특별시 성동구 자양제3동,,,,,name_not_found,0
1120085000,서울특별시 성동구 구의제1동,,,,,name_not_found,0
1120086000,서울특별시 성동구 구의제2동,,,,,name_not_found,0
1120087000,서울특별시 성동구 구의제3동,,,,,name_not_found,0
1121500000,서울특별시 광진구,,,,,name_not_found,0
1121571000,서울특별시 광진구 화양동,1105053,서울특별시 광진구 화양동,962319.0,1949407.0,matched,1
1121573000,서울특별시 광진구 군자동,1105054,서울특별시 광진구 군자동,962245.0,1950493.0,matched,1
1121574000,서울특별시 광진구 중곡제1동,,,,,name_not_found,0
1121575000,서울특별시 광진구 중곡제2동,,,,,name_not_found,0
1121576000,서울특별시 광진구 중곡제3동,,,,,name_not_found,0
1121577000,서울특별시 광진구 중곡제4동,,,,,name_not_found,0
1121578000,서울특별시 광진구 능동,1105059,서울특별시 광진구 능동,963059.0,1950219.0,matched,1
1121581000,서울특별시 광진구 광장동,1105063,서울특별시 광진구 광장동,965082.0,1949906.0,matched,1
1121582000,서울특별시 광진구 자양제1동,,,,,name_not_found,0
1121583000,서울특별시 광진구 자양제2동,,,,,name_not_found,0
1121584000,서울특별시 광진구 자양제3동,,,,,name_not_found,0
1121584500,서울특별시 광진구 노유제1동,,,,,name_not_found,0
1121584600,서울특별시 광진구 노유제2동,,,,,name_not_found,0
1121584700,서울특별시 광진구 자양제4동,,,,,name_not_found,0
1121585000,서울특별시 광진구 구의제1동,,,,,name_not_found,0
1121586000,서울특별시 광진구 구의제2동,,,,,name_not_found,0
1121587000,서울특별시 광진구 구의제3동,,,,,name_not_found,0
1123000000,서울특별시 동대문구,,,,,name_not_found,0
1123051000,서울특별시 동대문구 신설동,,,,,name_not_found,0
1123052000,서울특별시 동대문구 용두제1동,,,,,name_not_found,0
1123053000,서울특별시 동대문구 용두제2동,,,,,name_not_found,0
1123053500,서울특별시 동대문구 용두동,,,,,name_not_found,0
1123053600,서울특별시 동대문구 용신동,1106081,서울특별시 동대문구 용신동,958721.0,1953011.0,matched,1
1123054000,서울특별시 동대문구 제기제1동,,,,,name_not_found,0
1123054500,서울특별시 동대문구 제기동,1106082,서울특별시 동대문구 제기동,959145.0,1953914.0,matched,1
1123055000,서울특별시 동대문구 제기제2동,,,,,name_not_found,0
1123056000,서울특별시 동대문구 전농제1동,,,,,name_not_found,0
1123057000,서울특별시 동대문구 전농제2동,,,,,name_not_found,0
1123058000,서울특별시 동대문구 전농제3동,,,,,name_not_found,0
1123059000,서울특별시 동대문구 전농제4동,,,,,name_not_found,0
1123060000,서울특별시 동대문구 답십리제1동,,,,,name_not_found,0
1123061000,서울특별시 동대문구 답십리제2동,,,,,name_not_found,0
1123062000,서울특별시 동대문구 답십리제3동,,,,,name_not_found,0
1123063000,서울특별시 동대문구 답십리제4동,,,,,name_not_found,0
1123064000,서울특별시 동대문구 답십리제5동,,,,,name_not_found,0
1123065000,서울특별시 동대문구 장안제1동,,,,,name_not_found,0
1123066000,서울특별시 동대문구 장안제2동,,,,,name_not_found,0
1123067000,서울특별시 동대문구 장안제3동,,,,,name_not_found,0
1123068000,서울특별시 동대문구 장안제4동,,,,,name_not_found,0
1123069000,서울특별시 동대문구 청량리제1동,,,,,name_not_found,0
1123070000,서울특별시 동대문구 청량리제2동,,,,,name_not_found,0
1123070500,서울특별시 동대문구 청량리동,1106080,서울특별시 동대문구 청량리동,959867.0,1954490.0,matched,1
1123071000,서울특별시 동대문구 회기동,1106071,서울특별시 동대문구 회기동,960423.0,1955047.0,matched,1
1123072000,서울특별시 동대문구 휘경제1동,,,,,name_not_found,0
1123073000,서울특별시 동대문구 휘경제2동,,,,,name_not_found,0
1123074000,서울특별시 동대문구 이문제1동,,,,,name_not_found,0
1123075000,서울특별시 동대문구 이문제2동,,,,,name_not_found,0
1123076000,서울특별시 동대문구 이문제3동,,,,,name_not_found,0
1126000000,서울특별시 중랑구,,,,,name_not_found,0
1126051000,서울특별시 중랑구 면목제1동,,,,,name_not_found,0
1126052000,서울특별시 중랑구 면목제2동,,,,,name_not_found,0
1126053000,서울특별시 중랑구 면목제3동,,,,,name_not_found,0
1126054000,서울특별시 중랑구 면목제4동,,,,,name_not_found,0
1126055000,서울특별시 중랑구 면목제5동,,,,,name_not_found,0
1126056000,서울특별시 중랑구 면목제6동,,,,,name_not_found,0
1126056500,서울특별시 중랑구 면목본동,1107071,서울특별시 중랑구 면목본동,963753.0,1954401.0,matched,1
1126057000,서울특별시 중랑구 면목제7동,,,,,name_not_found,0
1126057100,서울특별시 중랑구 면목제8동,,,,,name_not_found,0
1126057500,서울특별시 중랑구 면목제3.8동,,,,,name_not_found,0
1126058000,서울특별시 중랑구 상봉제1동,,,,,name_not_found,0
1126059000,서울특별시 중랑구 상봉제2동,,,,,name_not_found,0
1126060000,서울특별시 중랑구 중화제1동,,,,,name_not_found,0
1126061000,서울특별시 중랑구 중화제2동,,,,,name_not_found,0
1126061100,서울특별시 중랑구 중화제3동,,,,,name_not_found,0
1126062000,서울특별시 중랑구 묵제1동,,,,,name_not_found,0
1126063000,서울특별시 중랑구 묵제2동,,,,,name_not_found,0
1126064000,서울특별시 중랑구 망우제1동,,,,,name_not_found,0
1126065000,서울특별시 중랑구 망우제2동,,,,,name_not_found,0
1126065500,서울특별시 중랑구 망우본동,1107073,서울특별시 중랑구 망우본동,965338.0,1955917.0,matched,1
1126066000,서울특별시 중랑구 망우제3동,,,,,name_not_found,0
1126067000,서울특별시 중랑구 신내동,,,,,name_not_found,0
1126068000,서울특별시 중랑구 신내1동,1107069,서울특별시 중랑구 신내1동,965060.0,1957546.0,matched,1
1126069000,서울특별시 중랑구 신내2동,1107070,서울특별시 중랑구 신내2동,963944.0,1956921.0,matched,1
1129000000,서울특별시 성북구,,,,,name_not_found,0
1129051000,서울특별시 성북구 성북제1동,,,,,name_not_found,0
1129052000,서울특별시 성북구 성북제2동,,,,,name_not_found,0
1129052500,서울특별시 성북구 성북동,1108081,서울특별시 성북구 성북동,955339.0,1955374.0,matched,1
1129053000,서울특별시 성북구 동소문동,,,,,name_not_found,0
1129054000,서울특별시 성북구 삼선제1동,,,,,name_not_found,0
1129055000,서울특별시 성북구 삼선제2동,,,,,name_not_found,0
1129055500,서울특별시 성북구 삼선동,1108082,서울특별시 성북구 삼선동,956894.0,1954249.0,matched,1
1129056000,서울특별시 성북구 동선제1동,,,,,name_not_found,0
1129057000,서울특별시 성북구 동선제2동,,,,,name_not_found,0
1129057500,서울특별시 성북구 동선동,1108083,서울특별시 성북구 동선동,957484.0,1955039.0,matched,1
1129058000,서울특별시 성북구 돈암제1동,,,,,name_not_found,0
1129059000,서울특별시 성북구 돈암제2동,,,,,name_not_found,0
1129060000,서울특별시 성북구 안암동,1108060,서울특별시 성북구 안암동,958258.0,1954363.0,matched,1
1129061000,서울특별시 성북구 보문동,1108061,서울특별시 성북구 보문동,957543.0,1953825.0,matched,1
1129062000,서울특별시 성북구 정릉제1동,,,,,name_not_found,0
1129063000,서울특별시 성북구 정릉제2동,,,,,name_not_found,0
1129064000,서울특별시 성북구 정릉제3동,,,,,name_not_found,0
1129065000,서울특별시 성북구 정릉제4동,,,,,name_not_found,0
1129066000,서울특별시 성북구 길음제1동,,,,,name_not_found,0
1129067000,서울특별시 성북구 길음제2동,,,,,name_not_found,0
1129068000,서울특별시 성북구 길음제3동,,,,,name_not_found,0
1129068500,서울특별시 성북구 길음제2동,,,,,name_not_found,0
1129069000,서울특별시 성북구 종암제1동,,,,,name_not_found,0
1129070000,서울특별시 성북구 종암제2동,,,,,name_not_found,0
1129070500,서울특별시 성북구 종암동,1108084,서울특별시 성북구 종암동,958859.0,1955435.0,matched,1
1129071000,서울특별시 성북구 하월곡제1동,,,,,name_not_found,0
1129071500,서울특별시 성북구 월곡제1동,,,,,name_not_found,0
1129072000,서울특별시 성북구 하월곡제2동,,,,,name_not_found,0
1129072500,서울특별시 성북구 월곡제2동,,,,,name_not_found,0
1129073000,서울특별시 성북구 하월곡제3동,,,,,name_not_found,0
1129073500,서울특별시 성북구 월곡제3동,,,,,name_not_found,0
1129074000,서울특별시 성북구 하월곡제4동,,,,,name_not_found,0
1129074500,서울특별시 성북구 월곡제4동,,,,,name_not_found,0
1129075000,서울특별시 성북구 상월곡동,,,,,name_not_found,0
1129076000,서울특별시 성북구 장위제1동,,,,,name_not_found,0
1129077000,서울특별시 성북구 장위제2동,,,,,name_not_found,0
1129078000,서울특별시 성북구 장위제3동,,,,,name_not_found,0
1129079000,서울특별시 성북구 석관제1동,,,,,name_not_found,0
1129080000,서울특별시 성북구 석관제2동,,,,,name_not_found,0
1129081000,서울특별시 성북구 석관동,1108085,서울특별시 성북구 석관동,961276.0,1956629.0,matched,1
1130500000,서울특별시 강북구,,,,,name_not_found,0
1130553100,서울특별시 강북구 미아제1동,,,,,name_not_found,0
1130553200,서울특별시 강북구 미아제2동,,,,,name_not_found,0
1130553300,서울특별시 강북구 미아제3동,,,,,name_not_found,0
1130553400,서울특별시 강북구 삼양동,1109069,서울특별시 강북구 삼양동,957202.0,1958384.0,matched,1
1130553500,서울특별시 강북구 미아동,1109070,서울특별시 강북구 미아동,958206.0,1958905.0,matched,1
1130554000,서울특별시 강북구 미아제4동,,,,,name_not_found,0
1130554500,서울특별시 강북구 송중동,1109071,서울특별시 강북구 송중동,958885.0,1957686.0,matched,1
1130555000,서울특별시 강북구 미아제5동,,,,,name_not_found,0
1130555500,서울특별시 강북구 송천동,1109072,서울특별시 강북구 송천동,958085.0,1957732.0,matched,1
1130556000,서울특별시 강북구 미아제6동,,,,,name_not_found,0
1130556500,서울특별시 강북구 미아제6.7동,,,,,name_not_found,0
1130557000,서울특별시 강북구 미아제7동,,,,,name_not_found,0
1130557500,서울특별시 강북구 삼각산동,1109073,서울특별시 강북구 삼각산동,957327.0,1957734.0,matched,1
1130558000,서울특별시 강북구 미아제8동,,,,,name_not_found,0
1130558100,서울특별시 강북구 미아제9동,,,,,name_not_found,0
1130559000,서울특별시 강북구 번제1동,,,,,name_not_found,0
1130559500,서울특별시 강북구 번1동,1109060,서울특별시 강북구 번1동,958536.0,1959995.0,matched,1
1130560000,서울특별시 강북구 번제2동,,,,,name_not_found,0
1130560300,서울특별시 강북구 번2동,1109061,서울특별시 강북구 번2동,958947.0,1959004.0,matched,1
1130560600,서울특별시 강북구 번제3동,,,,,name_not_found,0
1130560800,서울특별시 강북구 번3동,1109062,서울특별시 강북구 번3동,959599.0,1958345.0,matched,1
1130561000,서울특별시 강북구 수유제1동,,,,,name_not_found,0
1130561500,서울특별시 강북구 수유1동,1109063,서울특별시 강북구 수유1동,956748.0,1959039.0,matched,1
1130562000,서울특별시 강북구 수유제2동,,,,,name_not_found,0
1130562500,서울특별시 강북구 수유2동,1109064,서울특별시 강북구 수유2동,957601.0,1960768.0,matched,1
1130563000,서울특별시 강북구 수유제3동,,,,,name_not_found,0
1130563500,서울특별시 강북구 수유3동,1109065,서울특별시 강북구 수유3동,957804.0,1960222.0,matched,1
1130564000,서울특별시 강북구 수유제4동,,,,,name_not_found,0
1130564500,서울특별시 강북구 우이동,1109074,서울특별시 강북구 우이동,955940.0,1962428.0,matched,1
1130565000,서울특별시 강북구 수유제5동,,,,,name_not_found,0
1130565100,서울특별시 강북구 수유제6동,,,,,name_not_found,0
1130566000,서울특별시 강북구 인수동,1109075,서울특별시 강북구 인수동,956203.0,1959897.0,matched,1
1132000000,서울특별시 도봉구,,,,,name_not_found,0
1132051100,서울특별시 도봉구 창제1동,,,,,name_not_found,0
1132051200,서울특별시 도봉구 창제2동,,,,,name_not_found,0
1132051300,서울특별시 도봉구 창제3동,,,,,name_not_found,0
1132051400,서울특별시 도봉구 창제4동,,,,,name_not_found,0
1132051500,서울특별시 도봉구 창제5동,,,,,name_not_found,0
1132052100,서울특별시 도봉구 도봉제1동,,,,,name_not_found,0
1132052200,서울특별시 도봉구 도봉제2동,,,,,name_not_found,0
1132053100,서울특별시 도봉구 미아제1동,,,,,name_not_found,0
1132053200,서울특별시 도봉구 미아제2동,,,,,name_not_found,0
1132053300,서울특별시 도봉구 미아제3동,,,,,name_not_found,0
1132054000,서울특별시 도봉구 미아제4동,,,,,name_not_found,0
1132055000,서울특별시 도봉구 미아제5동,,,,,name_not_found,0
1132056000,서울특별시 도봉구 미아제6동,,,,,name_not_found,0
1132057000,서울특별시 도봉구 미아제7동,,,,,name_not_found,0
1132058000,서울특별시 도봉구 미아제8동,,,,,name_not_found,0
1132058100,서울특별시 도봉구 미아제9동,,,,,name_not_found,0
1132059000,서울특별시 도봉구 번제1동,,,,,name_not_found,0
1132060000,서울특별시 도봉구 번제2동,,,,,name_not_found,0
1132060500,서울특별시 도봉구 번제2동분소,,,,,name_not_found,0
1132060600,서울특별시 도봉구 번제3동,,,,,name_not_found,0
1132061000,서울특별시 도봉구 수유제1동,,,,,name_not_found,0
1132062000,서울특별시 도봉구 수유제2동,,,,,name_not_found,0
1132063000,서울특별시 도봉구 수유제3동,,,,,name_not_found,0
1132064000,서울특별시 도봉구 수유제4동,,,,,name_not_found,0
1132065000,서울특별시 도봉구 수유제5동,,,,,name_not_found,0
1132065100,서울특별시 도봉구 수유제6동,,,,,name_not_found,0
1132066000,서울특별시 도봉구 쌍문제1동,,,,,name_not_found,0
1132067000,서울특별시 도봉구 쌍문제2동,,,,,name_not_found,0
1132068000,서울특별시 도봉구 쌍문제3동,,,,,name_not_found,0
1132068100,서울특별시 도봉구 쌍문제4동,,,,,name_not_found,0
1132069000,서울특별시 도봉구 방학제1동,,,,,name_not_found,0
1132070000,서울특별시 도봉구 방학제2동,,,,,name_not_found,0
1132071000,서울특별시 도봉구 방학제3동,,,,,name_not_found,0
1132072000,서울특별시 도봉구 방학제4동,,,,,name_not_found,0
1135000000,서울특별시 노원구,,,,,name_not_found,0
1135051000,서울특별시 노원구 도봉제1동,,,,,name_not_found,0
1135052000,서울특별시 노원구 도봉제2동,,,,,name_not_found,0
1135053000,서울특별시 노원구 창제1동,,,,,name_not_found,0
1135054000,서울특별시 노원구 창제2동,,,,,name_not_found,0
1135055000,서울특별시 노원구 창제3동,,,,,name_not_found,0
1135056000,서울특별시 노원구 월계1동,1111051,서울특별시 노원구 월계1동,961015.0,1958129.0,matched,1
1135057000,서울특별시 노원구 월계2동,1111052,서울특별시 노원구 월계2동,960410.0,1959489.0,matched,1
1135057500,서울특별시 노원구 월계제2동분소,,,,,name_not_found,0
1135058000,서울특별시 노원구 월계3동,1111053,서울특별시 노원구 월계3동,961643.0,1958516.0,matched,1
1135058100,서울특별시 노원구 월계4동,,,,,name_not_found,0
1135059000,서울특별시 노원구 공릉제1동,,,,,name_not_found,0
1135059100,서울특별시 노원구 공릉제1동분소,,,,,name_not_found,0
1135059500,서울특별시 노원구 공릉1동,1111079,서울특별시 노원구 공릉1동,962380.0,1958385.0,matched,1
1135060000,서울특별시 노원구 공릉2동,1111056,서울특별시 노원구 공릉2동,964209.0,1959202.0,matched,1
1135060100,서울특별시 노원구 공릉제3동,,,,,name_not_found,0
1135060500,서울특별시 노원구 공릉1.3동,,,,,name_not_found,0
1135061000,서울특별시 노원구 하계동,,,,,name_not_found,0
1135061100,서울특별시 노원구 하계1동,1111058,서울특별시 노원구 하계1동,962520.0,1959989.0,matched,1
1135061200,서울특별시 노원구 하계2동,1111059,서울특별시 노원구 하계2동,961619.0,1959690.0,matched,1
1135061900,서울특별시 노원구 중계본동,1111060,서울특별시 노원구 중계본동,963486.0,1961097.0,matched,1
1135062000,서울특별시 노원구 중계동,,,,,name_not_found,0
1135062100,서울특별시 노원구 중계1동,1111061,서울특별시 노원구 중계1동,962378.0,1961287.0,matched,1
1135062200,서울특별시 노원구 중계2동,,,,,name_not_found,0
1135062300,서울특별시 노원구 중계3동,,,,,name_not_found,0
1135062400,서울특별시 노원구 중계4동,1111064,서울특별시 노원구 중계4동,963171.0,1962282.0,matched,1
1135062500,서울특별시 노원구 중계2.3동,,,,,name_not_found,0
1135063000,서울특별시 노원구 상계1동,1111065,서울특별시 노원구 상계1동,961657.0,1964953.0,matched,1
1135063500,서울특별시 노원구 상계제1동분소,,,,,name_not_found,0
1135064000,서울특별시 노원구 상계2동,1111066,서울특별시 노원구 상계2동,961832.0,1962180.0,matched,1
1135065000,서울특별시 노원구 상계제3동,,,,,name_not_found,0
1135066000,서울특별시 노원구 상계제4동,,,,,name_not_found,0
1135066500,서울특별시 노원구 상계3.4동,,,,,name_not_found,0
1135067000,서울특별시 노원구 상계5동,1111069,서울특별시 노원구 상계5동,962080.0,1963009.0,matched,1
1135068000,서울특별시 노원구 상계제6동,,,,,name_not_found,0
1135069000,서울특별시 노원구 상계제7동,,,,,name_not_found,0
1135069500,서울특별시 노원구 상계6.7동,,,,,name_not_found,0
1135070000,서울특별시 노원구 상계8동,1111072,서울특별시 노원구 상계8동,960623.0,1963094.0,matched,1
1135071000,서울특별시 노원구 상계9동,1111073,서울특별시 노원구 상계9동,961341.0,1963321.0,matched,1
1135072000,서울특별시 노원구 상계10동,1111074,서울특별시 노원구 상계10동,960968.0,1962340.0,matched,1
